00Teaser||(speak)á (butcher)èe (white)yé (bird)Ìy (sing)eý (beaver)Ìi.||The pale butcher speaks to the beaver about a singing bird.
||(see)ìl (difficult)yà veì (butcher)èe (speak)èe (beaver)Ìi.||I have seen the butcher, who was speaking to the beaver, with difficulty.
||(difficult)à (loud)yè (speak)ái (two)Ìe.||The noise makes speaking difficult for the two.
00Example¤0||(sentence)ì (Lemizh)Ìi.|Literal translation|Better translation
02Level of words¤1|Now look at these examples and follow the word levels from the main predicate to the last word: (Remember you can hover the mouse over the text to display its transcription.)|||
||(speak)á (Trance)eè (do)aÌ (Seamus)Ìi.||
||(want)à (hear)ày (fate)ày zèi, (Seamus)Ìe (machine)èy.||
02Rule One¤1|Here is a schematic ‘sentence’ with the words represented by their level numbers:|||
||(<img src="<nut>../tutorial/</nut>images/tree.svg" alt="Structure of the sentence: 0 [parole] – 1 [main predicate] – (2 – 3 – 3 – 4) – (2) – (2 – 3). The main predicate’s three objects are enclosed in round brackets.">)||
02Rule Three¤1|Therefore, pronouns serve nicely to illustrate the point:|||
||(speak)á ve{è} (female)Ì{i}.||<mark>I</mark> speak to <mark>her</mark>. / <mark>I</mark> tell <mark>her</mark>.
||(speak)á (female)y{è} vè{i}.||<mark>She</mark> speaks to <mark>me</mark>. / <mark>She</mark> tells <mark>me</mark>.
02Rule Three II¤1|We will sometimes show Lemizh cases in the translations like so:|||
||(speak)á (female)y{è} (war)a{Ì} vè{i}.|She is the sender, the war is the content, and I am the recipient of the telling.|She-nom speaks about a war-acc to me-dat.<br>She-nom tells me-dat about a war-acc.
02Objects of nouns¤1|But what about this noun phrase?|||
||(speak)è (war)à{y}.||
02Inversion¤2||(help)à (speak){èi}.||[Someone] helps the speaker.
||<=> (speak)á (help){ìe}.||The one being helped speaks [something].
02Inversion II¤2||(help)à (speak){èi} (war)ày{[3]}.||Someone helps the teller of a war.
||<=> (speak)á (help){iè} (war)ày{[2]}.|(‘war’ remains an object of ‘speak’)|The one being helped tells someone about a war.
02Partitive¤2||(twinkle)à (star)eè{n} (Seamus)Ìi.|The stars are the set from which the sender of twinkling is thought to be taken.<br>That which twinkles is from the set of stars / is of the type ‘star’.|Some of the stars twinkle at Seamus.
|||<img src="<nut>../tutorial/</nut>images/partitive.svg" class="filled" alt="Starry sky, representing the set of stars, with a few of them singled out as the twinkling ones.">|
02Inner partitive¤2||(help)à (speak)èi{n}.|The speakers are the set from which the recipient of helping is thought to be taken.|[He] is helping some of the speakers.
||<=> (speak)á (help)ì{n}e.|They who are being helped are from the set / of the type ‘speaker’.|The one(s) being helped, among others, speak.
03Non-sending||(open)à (wind)y{è} (door)Ìy.||The wind opens the door.
||(open)à (wind)y{ù} (door)Ìy.|The wind is the means for opening the door.|The wind opens the door.
||(open)à (wind)y{èl} (door)Ìy.|The wind is the cause for the opening of the door.|The wind opens the door.
03Non-receiving¤2||(snow)à (ground)Ì{i}.||It is snowing at the ground.
||(snow)à (ground)Ì{ir}.||It is snowing / Snow is falling onto the ground.
||(snow)à (ground)Ì{Ur}.||It is snowing / Snow is falling towards the ground.
03Non-transporting||(hurt)à (shoulder)y{è} (dwarf)Ì{i}.|The shoulder hurts the dwarf.|The dwarf’s shoulder hurts [him].<br>The dwarf has/feels a pain in the shoulder.
03Reception¤2|Look at the case endings in this sentence:|||
||(get)à (Lucy)y{ì} (bottle)yÌ (FatherChristmas)Ì{e}.||Lucy-dat gets a bottle from Father Christmas-nom.
03Reception II¤2|But all Lemizh verbs follow the plot, and so the above sentence literally means:|||
||(give)à (Lucy)y{ì} (bottle)yÌ (FatherChristmas)Ì{e}.||Father Christmas-nom gives Lucy-dat a bottle.
03Reception III¤2||<id=perceptual>(give)à (Lucy)y{ì} (bottle)yÌ (FatherChristmas)Ì{e}.|Father Christmas gives Lucy a bottle.|Lucy<nut>-dat</nut> is given a bottle by Father Christmas<nut>-nom</nut>.<nonut> (passive)</nonut>
|¤|(see)à (Lucy)y{ì} (lion)Ì{e}.|The lion, well, conveys an optical stimulus to Lucy.|Lucy sees the lion.
|¤|(move)à (statue)Ì{y}.|Someone moves the statue. = The statue is being moved.|The statue moves.
|¤|(open)à (door)Ì{y}.|Someone opens the door. = The door is opened.|The door opens.
03Reception perceptual||(see)à (Lucy)yì (lion)Ì{y}.|The lion’s image is sent to Lucy.|Lucy sees the lion’s image.
03Other cases¤2||(do)á (wolf)yè (witch)è{U}.|(The witch is the beneficiary.)|The wolf did it for the witch.
||(do)á (child)yè (TurkishDelight)Ì{Ul}.|(Turkish Delight is the aim.)|The child did it for Turkish Delight.
|¤|(move)à (castle)Ì{Ur}.|(The castle is the place towards which.)|They went towards the castle.<br>They went for the castle.
03Agent¤2||(give)á{´} (FatherChristmas)yè (beaver)Ìi.||Father Christmas gives something to the beaver. The beaver gets something from Father Christmas.
||(give)à{`} (beaver)Ìi.||The beaver gets something.
||(give)á{´} (beaver)yì (FatherChristmas)Ìe.||The beaver takes something from Father Christmas.
|¤|(see)á{´} (Lucy)yì (lion)Ìe.||Lucy looks at the lion.
|¤|(move)á{´} (statue)Ìy.||The statue moves [of its own accord].
03Agent causative||(snow)á{´} (witch)èel.||The witch makes it snow.
||(walk)á{´} (dwarf)yèl (Edmund)yÌ (witch)èi.||The dwarf walks Edmund to the witch.
||(fear)á{´} (wolf)yèl (child)Ìe.|(verb of emotion)|The wolf frightens the child.
03No agent|Some other examples of verbs with no agent given:|||
||(miss)à (Edmund)yè (sibling)Ìy.||Edmund is missing his siblings.
||(melt)à (snow)Ìi.||The snow is melting.
||(want)à veè (TurkishDelight)Ìy.||I want Turkish Delight. [It’s not my fault!]
04Nouns¤3|Here is a concrete example:|||
||(lace)á (beaver)y{è} (thread)Ì{i}.||The beaver makes lace from thread.
|Receptive:|||
||(lace)à (thread)Ì{i}.||The thread becomes / turns into lace.
04Adjectives¤3||(white)à (black)Ì{i}.|Someone whitens a black thing.<br>Someone makes a white thing from a black one.<br>A black thing turns white (receptive).|The colour changes from black to white.
04Absorption¤3|A familiar example with a nominal verb:|||
||{(make)á} (beaver)yè {(lace)yÌ} (thread)Ìi. ->|(clumsy phrasing)|The beaver makes lace from thread.
||{(lace)á} (beaver)yè (thread)Ìi.|(elegant phrasing)|
|¤and with a perceptual verb:|||
|¤|{(hear)à} (beaver)yì {(rustle)èe}. ->|(clumsy phrasing: the rustling thing produces a sound)|The beaver hears something rustle.
|¤|{(rustle)à} (beaver)Ìi.|(elegant phrasing)|
04Desorption¤3|A factive desorption for stylistic reasons:|||
||{(hunt)à} (Snark)yÌ (island)Ìor. ->||They are hunting the Snark on an island.
||{(do)à} (island)yòr {(hunt)àa} (Snark)Ìy.||On an island, they are hunting the Snark.
|¤Marking two objects as agents:|||
|¤|{(do)á} (dwarf)yèl {(give)áa} (beaver)yì (FatherChristmas)Ìe.||The dwarf makes the beaver take something from Father Christmas.
|¤|{(do)á} (FatherChristmas)yè {(give)áa} (beaver)Ìi.||Father Christmas gives something to the beaver, and the beaver takes (accepts) it.
04‘and’¤3||(walk)á (beaver)y{n}Ì (butcher)è{n}y.|The beaver, among others, is walking; the butcher, among others, is walking.|The beaver and the butcher are walking.
04‘and’ for sentences||(do)á (butcher)eè (speak)a{n}à (teach)a{n}à (beaver)Ìi.|The butcher does something to the beaver; this is speaking, among other things, and teaching, among other things.|The butcher speaks to and teaches the beaver.
||(do)à (speak)á{n}a (butcher)eé (lace)á{n}a (beaver)Ìi.|Something happens; this is the butcher speaking, among other things, and the beaver making lace, among other things.|The butcher is speaking and the beaver is making lace.
04Inclusive ‘or’||(search)à (Snark)y{n}Ì{n} (Boojum)Ì{n}y{n}.|They are searching for some or one [outer partitives] of the Snark and the Boojum [inner partitives].|They are searching for the Snark or the Boojum (or both).
05Bracket¤3|The second and third words in this sentence form a bracket:|||
||(speak)à (machine){è}i (Nechwatal)Ì{e}.||Someone speaks to the mechanic Nechwatal.
05Coordination¤3||(speak)à (machine)e{ì} (Nechwatal)Ì{i}.||Someone speaks to the mechanic Nechwatal.
05Attributes¤3||(male){Ì} (white)Ì{y}.|a man, a pale one|a pale man
||(male){Ì} (speak)è{y}.|a man, a speaker|a speaking man
||(milk){Ì} (spill)Ì{y}.|milk, a spilt thing|spilt milk
05Attributes extended¤3||(male)Ì (speak)èy (elephant)yÌ{[3]} (child)Ìi{[3]}.|(the elephant is the content, the child the recipient of speaking)|a man speaking to a child about elephants
|¤|(milk)Ì (spill)Ìy (ground)Ìir{[3]}.|(the ground is the ending region of spilling)|milk spilt on the ground
05Adverbs¤3||(do){à} (strange)Ì{a}.|the behaviour (the behaving), the strange one|He behaves strangely.
05Brackets in brackets||(male)Ì (wise)eÌ{[2]} (white)Ìy{[2]}.|(accusative bracket and accusative coordination)|a wise, pale man; a wise and pale man
||(male)Ì (wise)èy{[2]} (white)Ìe{[3]}.|(one accusative and one nominative bracket)|a pale <em>wise man</em>
||(male)Ì (white)Ìy{[2]} (wise)èy{[3]}.|(two accusative brackets)|a wise <em>pale man</em>
05Non-brackets¤3||(speak)è (good)Ì{a}.||a good speaker
05Non-brackets II||(male)Ì (speak)èy (good)Ì{a}.|a man, a good speaker|a man speaking well
||(wind)Ì (warm)Ìy (terrible)Ì{il}.|(The wind is a warm thing, and the warmth is a terrible thing.)|terribly hot wind
05Partitive bracket¤3||(male){Ì} (wise)è{yn}.|a man from the set of wise ones<br>(The wise ones are the set from which the man is taken.)|a wise <em>man</em>
||(wise){è} (male)Ì{en}.|a wise one from the set of men|a <em>wise</em> man; a wise one among the men
|¤There are partitive coordinations as well:|||
|¤|(speak)á (male)y{è} (wise)è{en}.|A man from the set of wise ones is speaking.|A wise <em>man</em> is speaking.
|¤|(speak)á (wise)e{è} (male)Ì{en}.|A wise one from the set of men is speaking.|A <em>wise</em> man is speaking.
05Exclusive ‘or’||(search)à (one){Ì}y (Snark)yn{Ìn} (Boojum)Ìn{yn}.|They are searching for one from the set consisting of the Snark and the Boojum.|They are searching for either the Snark or the Boojum.
05Partitive in brackets||(see)à veì (male){Ì}en (wise)è{y}.||I see some of the wise men.
||(speak)á (male){Ìn}e (white)Ì{y}.||The pale man, among other [people], is speaking.
05Material||(lace){à} (thread)Ìi. ->||He makes lace from thread. The thread becomes / turns into lace.
||(lace){Ì} (thread)Ìi.||lace made from thread
||(door)Ì (wood)Ìi.|a door made of wood|a wooden door
||(salad)Ì (tomato)Ìi.|salad made from tomatoes|tomato salad
05Genitive¤3||(coat)Ì (machine)è{U}.|The coat is made for the mechanic.<br>The mechanic is the beneficiary of coat-making.|the mechanic’s coat
||(tower)Ì (castle)Ì{U}.<nonut> (tower)Ì (castle)Ì{Ol}.</nonut>|The tower is made for the castle.<br>The castle is the beneficiary of<nonut> / reason for</nonut> tower-making.|the tower of the castle
05Genitive non-benefactive¤3||(give)á (male)Ì{e}. -> (give)ý (male)Ì{e}.|The man gives.|the man’s gift
|¤|(music)ý (Bach)Ì{e}.|Bach made music.|Bach’s music
|¤|(wool)Ì (goat)Ì{e}.|The goat produces wool.|goat’s wool
||(colour)ìl (snow)Ì{y}.|The snow is coloured.|the colour of snow (non-gerund-like abstract noun)
|¤|(see)ù (child)Ì{i}.|The child sees.|the child’s eyes (<a href="4.html#profession" title="Verbs of work and profession">tool noun</a>)
||(sleep)à (baby)Ì{i}.|The baby sleeps.|the baby’s sleep (gerund-like abstract noun)
|¤|(dream)Ì (night)Ì{aR} (midsummer)Ìy.|Someone dreams in a midsummer night.|A Midsummer Night’s Dream
