00|Solve this exercise:|||
||(Click the key!)|1|This is the solution.
02Composition|Identify the parts of these words, assuming they are main predicates:|||
|| (Lemizh)àr —|1|<lem>lem</lem> + <lem>àr</lem> + <lem>c</lem> + &zero;
|| (four)Ì —|2|<lem>gw</lem> + <lem>Ì</lem> + <lem>q</lem> + &zero;
|| (not)Ìm —|3|<lem>n</lem> + <lem>Ìm</lem> + &zero; + &zero;
|Identify the parts of these words, assuming they are <em>not</em> main predicates:|||
|| — (six)irÌ —|4|<lem>sw</lem> + <lem>ir</lem> + <lem>h</lem> + <lem>Ì</lem>
|| — veè —|5|<lem>v</lem> + <lem>e</lem> + &zero; + <lem>è</lem>
|| — (strong)alý —|6|<lem>bl</lem> + <lem>al</lem> + &zero; + <lem>ý</lem>
|| — (horse)Ìne —|7|&zero; + <lem>Ìn</lem> + <lem>hw</lem> + <lem>e</lem>
02Level|Identify the level of each word in these sentences:|||
|| (speak)á (Trance)èe (star)eé (Seamus)yì (war)ày (strange)Ìa.|1| <lem>(speak)á[1] (Trance)èe[2a] (star)eé[3] (Seamus)yì[2] (war)ày[2] (strange)Ìa[3].</lem>
|| (strange)ìl (war)ày (speak)ýa (Trance)eè (Seamus)Ìi, (terrible)Ìy.|2| <lem>(strange)ìl[1] (war)ày[2] (speak)ýa[3] (Trance)eè[4a] (Seamus)Ìi[4], (terrible)Ìy[2].</lem>
|| (assume)á veì (want)áy (Trance)eè (speak)ày (war)aÌ (Seamus)Ìi (eager)èy (hear)ày sàly.|3| <lem>(assume)á[1] veì[2a] (want)áy[2] (Trance)eè[3a] (speak)ày[3] (war)aÌ[4] (Seamus)Ìi[4] (eager)èy[5] (hear)ày[6] sàly[7].</lem>
02Two|Identify the objects of each main predicate:|||
|| (speak)á (Trance)èe (star)eé (Seamus)yì (war)ày (strange)Ìa.|1| <lem>(speak)á \{(Trance)èe (star)eé\} \{(Seamus)yì\} \{(war)ày (strange)Ìa\}.</lem>
|| (strange)ìl (war)ày (speak)ýa (Trance)eè (Seamus)Ìi, (terrible)Ìy.|2| <lem>(strange)ìl \{(war)ày (speak)ýa (Trance)eè (Seamus)Ìi\}, \{(terrible)Ìy\}.</lem>
|| (assume)á veì (want)áy (Trance)eè (speak)ày (war)aÌ (Seamus)Ìi (eager)èy (hear)ày sàly.|3| <lem>(assume)á \{veì\} \{(want)áy (Trance)eè (speak)ày (war)aÌ (Seamus)Ìi (eager)èy (hear)ày sàly\}.</lem>
02Objects|Translate:|||
||(help)á veè (female)Ìi.|1|I help her.
||(help)á (female)yè vèi.|2|She helps me.
||(love)è (female)Ìi.|3|the one loving her; her lover
||(love)ì (speak)èe (war)ày.|4|the one being loved by the teller of a war
02End|Invert the highlighted words and translate both the original sentence and yours: (Don’t worry about the difference between agentive and non-agentive.)|||
||{(speak)á (love)íne} (all)yé (war)aÌ (Seamus)Ìi.|1|The one being loved by all (by everybody), possibly among others, tells Seamus about a war.\u10?<lem>(love)á (all)yè (speak)èin (war)aÌ (Seamus)Ìi.</lem>\u10?Everybody loves one (or some, or all) of those telling Seamus about a war.
03Plot|For which other cases may the highlighted ones be substituted, if any? By which case markers are they represented? How is the meaning changed?|||
||(fell)à (iceberg)y{è} (ship)y{Ì} (ground)Ì{ir}.|1|nominative -> causative (<lem>el</lem>) if the iceberg is seen as the cause\u10?&emsp;-> arguably instrumental (<lem>u</lem>) if the iceberg is seen as the tool\u10?&emsp;(both cases needing an inner partitive)\u10?accusative -> no other cases\u10?illative -> allative (<lem>Ur</lem>) if the ship sinks towards the ground\u10?&emsp;-> possibly dative (<lem>i</lem>) if the ground is the recipient of the ship
||(angry)á (witch)e{è} (faun)Ì{i}.|2|nominative -> no other cases\u10?dative -> accusative (<lem>y</lem>) if the faun is out of the witch’s reach\u10?&emsp;-> causative (<lem>el</lem>) if he caused her anger\u10?&emsp;-> persuasive (<lem>Ol</lem>) since he is certainly the witch’s reason
||(fell)à (picture)y{Ì} (wall)Ì{er}.|3|accusative -> no other cases\u10?elative -> arguably nominative (<lem>e</lem>) if the wall is seen as sending the picture to the bottom
03Reception|Give three translations for the following sentence, one dative and two receptive (one of which in the passive voice):|||
||(help)á (faun)yè (Lucy)Ìi.|1|<em>dative:</em> The faun helps Lucy.\u10?<em>receptive:</em> Lucy gets help from the faun.\u10?<em>&emsp;passive:</em> Lucy is being helped by the faun.
03Agent|Translate:|||
||(eat)á vèi.|1|I eat. (This could also mean that I take the food from someone.)
||(eat)à vèi.|2|I am being fed.
||(eat)á vèe.|3|I feed someone. (This could also be myself.)
||(eat)à vèe.|4|Someone takes food from me and eats it.
04Nouns|Translate:|||
||(dam)è.|1|a dam-builder
||(lace)è (thread)Ìi.|2|someone who makes lace from thread; a lace-maker who works with thread
||(white)Ì (black)Ìi.|3|white, formerly black; a white thing made from a black one; something with a colour that changes or changed from black to white
||(light)àr.|4|a light place; somewhere light
||(happy)è.|5|happy; a happy one
||(red)ìl.|6|redness
||(trumpet)á (teach)èi.|7|The teacher listens to [someone playing] the trumpet.
||(lift)á (teach)iè (circle)ùy.|8|The student lifts the compass (the drawing tool, the means for making circles).
04End|Explain, in your own words, why inner and outer case must be identical for absorption to work.|||
|Translate:|||
||(do)èR.|1|starting time; the time an action starts
|Give three possibilities to connect these two verbs with ‘and’:|||
||(rustle)à. (shout)à.|2|<lem>(hear)à (rustle)anà (shout)àna.</lem>\u10?<lem>(perceive)à (rustle)anà (shout)àna.</lem>\u10?<lem>(do)à (rustle)anà (shout)àna.</lem>\u10?(The first is probably the best because it has the most informative main predicate.)
05Adjectives|Translate (both as bracket and coordination where applicable):|||
||(I see a rogue baker.)|1|<lem>(see)à veì (rogue)èe (bake)èe.</lem> (bracket)\u10?<lem>(see)à veì (rogue)eè (bake)èe.</lem> (coordination)\u10?Bracket inversion and switched order of the coordination are also possible.
||(I see a strangely behaving good dancer.)|2|<lem>(see)à veì (dance)èe (good)yà (do)èe (strange)Ìa.</lem> (bracket)\u10?<lem>(see)à veì (dance)èe (do)èe (strange)yá (good)Ìa.</lem> (bracket)\u10?<lem>(see)à veì (dance)èe (good)yá (do)èe (strange)Ìa.</lem> (coordination)\u10?Bracket inversions and switched order of the coordination are also possible.
||(I see one strangely behaving among (= from the set of) the good dancers.)|3|<lem>(see)à veì (do)èe (strange)yà (dance)èen (good)Ìa.</lem> (bracket)\u10?<lem>(see)à veì (do)èe (strange)yá (dance)èen (good)Ìa.</lem> (coordination)\u10?Switched order of the coordination is also possible.
||(He is playing a black trumpet.)|4|<lem>(trumpet)à (black)Ìu.</lem> (‘He is playing a trumpet, and the means for this is black.’)
|Explain why bracket inversions are possible, in contrast to other inversions inside a sentence.|||
|If a bracket’s predicate has an inner partitive case, why is the object’s outer case not a partitive?|||
|What does a bracket with an inner partitive of the predicate and a corresponding outer partitive of the object mean?|||
05Genitive|Translate:|||
||(the beaver’s fish)|1|<lem>(fish)Ì (beaver)ÌU.</lem>
||(the beaver’s dam)|2|<lem>(dam)ý (beaver)Ìe.</lem>\u10?(The beaver-nom [agentive] made the dam. Or possibly <abbr class="gloss" title="benefactive">ben</abbr> to emphasise the use of the dam over its creation by the beaver.)
||(the love of music)|3|<lem>(love)à (music)Ìy.</lem> (Someone loves music-acc. Music is probably too ‘distant’ or abstract for <abbr class="gloss" title="dative">dat</abbr>.)
||(the [biological] family of tortoises)|4|<lem>(family)Ì (tortoise)Ìy.</lem> (appositive genitive)
||(a bearded baker)|5|<lem>(bake)è (beard)èe.</lem> (The baker[’s body] produced the beard.)
||(a plastic bottle)|6|<lem>(bottle)Ì (plastic)Ìi.</lem>
06Compounds|Identify the boundaries between heads and modifiers and the epenthetic cases of the following compounds. Use the dictionary if necessary:|||
|| (wine)y(two)Ì.|1| <lem>(wine)y-(two)Ì.</lem> (This can be seen without knowing the words, as double consonants only occur at morpheme boundaries.)\u10?epenthetic case: the first <lem>y</lem>
|| (horse)y(female)Ì.|2| <lem>(horse)y-(female)Ì.</lem>\u10?epenthetic case: the word-initial <lem>y</lem>
|Translate as separate words, give their inversions if applicable, and translate as compounds:|||
||(hard-shouldered)|3|<lem>(hard)Ì (shoulder)Ìy. => (shoulder)y(hard)Ù.</lem>
||(to salt the meat, to put salt on the meat)|4|<lem>(move)à (salt)Ìy. <=> (salt)Ì (move)Ìy. => (move)y(salt)à (meat)Ìi.</lem>
06Pronouns|What are the targets of the pronoun stems in the following sentences? What do the pronouns refer to? Are these good choices of pronouns?|||
|| (red)à (smell)ùi zèi.|1|the parole; the sender of the parole, i.e. the speaker; yes, in fact the only choice
|| (eat)á (Achilles)yì (horse)Ìy (white)Ìy qÌU.|2|the stem of the second word (‘Achilles’); Achilles; no, indirect reference should be preferred (<lem>— zìU.</lem>)
|Translate, including all the pronouns for training purposes:|||
||(You don’t love my tortoise.)|3|<lem>(love)a(not)á viè (tortoise)Ìi zèU.</lem> (or outer <abbr class="gloss" title="accusative">acc</abbr> for the tortoise)
||(For some reason, I am not happy about this.)|4|<lem>(not)à (happy)áy zeè (this)yý (any)ÌOl.</lem> (or outer <abbr class="gloss" title="causative">caus</abbr> for the last word)\u10?Making ‘any’ an object of ‘happy’ as in the following translation is not quite the same. Do you get the difference (per compounding Rule Three)?\u10?<lem>(happy)a(not)á veè (this)yÌ (any)ÌOl.</lem>\u10?If ‘this’ refers to the previous exercise, we can replace the definite pronoun with <lem>— saý —</lem> (in the first translation) or <lem>— qaÌ —</lem> (in the second).
||(Lover and beloved are walking there.)|5|<lem>(walk)á (love)enÌ inÌ (this)Ìar.</lem>
||(one who is given something vs. one who takes something)|6|<lem>(give)ì.</lem>\u10?<lem>(give)í wìi.</lem>
||(They are afraid of each other.<br>(two possibilities: a long-winded and a short one))|7|<lem>(fear)à we(each)y(not)èel.</lem>\u10?<lem>(fear)à wèel.</lem> (assuming they cannot be afraid of themselves)
07|Translate, optionally using a pocket calculator. Spell out the numbers:|||
||(48)|1|<lem>(16)il(three)Ì.</lem> (30<sub>hex</sub> = <lem>30</lem>)
||(1,000,000)|2|<lem>\[(make)Ì\] (65536)il(fifteen)ynÌ (4096)il(four)ynÌ (256)il(two)ynÌ (16)il(four)Ìny.</lem> (F,4240<sub>hex</sub> = <lem>F-4240</lem>)
||(&minus;60)|3|<lem>(opposition)Ì (16)il(three)ilnÌ (twelve)ìlny.</lem> (&minus;3C<sub>hex</sub> = <lem>_3C</lem>)
||(1&frac;17)|4|<lem>(little)Ì (16)ynì (one)Ìni.</lem>
|Translate:|||
||(The group of tortoises isn’t seen anywhere.)|5|<lem>(see)ar(not)à (group)Ìe (tortoise)Ìi.</lem>\u10?<lem>(see)a(not)à (group)Ìe (tortoise)yí (any)Ìar.</lem> (possible, but less elegant)
||(Achilles is queuing quite often.)|6|<lem>(queue)aR(5/8)á (Achilles)Ìi.</lem>
||(walk)ir(3/4)à.|7|walk to many places, to a large area
||(laugh)Ol(1/8)à.|8|laugh with hardly a reason
||(happy)iR(not)à.|9|be happy forever
08|Translate:|||
||(a few of the greenish rooms)|1|<lem>(1/4)Ì (room)Ìyn (green)il(1/4)Ìy.</lem> (or other weakening numerals)
||(a threefold duty (give three translations – which comes closest to the English phrase?))|2|<lem>(must)Ì (three)Ìy.</lem> ‘three duties’\u10?<lem>(must)Ì (ensemble)i(three)Ìy.</lem> ‘a duty, an ensemble of three’ – comes closest\u10?<lem>(must)Ì (ensemble)i(three)ìy.</lem> ‘duties, forming an ensemble of three’\u10?(<lem>(ensemble)Ì.</lem> ‘ensemble’ is arguably more appropriate than <lem>(group)Ì.</lem> ‘group’.)
